1, 105653 
2, 23640 
3, 4109 
4, 2243 
5, 1368 
6, 933 
7, 635 
8, 484 
9, 333 
10, 250 
11, 205 
12, 164 
13, 131 
14, 111 
15, 110 
16, 74 
17, 59 
18, 65 
19, 53 
20, 52 
21, 44 
22, 60 
23, 41 
24, 50 
25, 38 
26, 39 
27, 36 
28, 23 
29, 31 
30, 30 
31, 32 
32, 25 
33, 27 
34, 16 
35, 29 
36, 36 
37, 28 
38, 21 
39, 31 
40, 18 
41, 21 
42, 12 
43, 25 
44, 8 
45, 16 
46, 13 
47, 17 
48, 9 
49, 19 
50, 15 
51, 7 
52, 14 
53, 10 
54, 6 
55, 5 
56, 7 
57, 10 
58, 7 
59, 4 
60, 5 
61, 7 
62, 5 
63, 1 
64, 5 
65, 5 
66, 8 
67, 5 
68, 8 
69, 4 
70, 5 
71, 3 
72, 4 
73, 7 
74, 2 
75, 5 
76, 7 
77, 2 
78, 3 
79, 1 
80, 6 
81, 4 
82, 4 
83, 1 
84, 2 
85, 2 
86, 1 
87, 4 
88, 5 
89, 4 
90, 3 
91, 1 
93, 3 
95, 3 
96, 1 
98, 1 
100, 2 
102, 1 
103, 2 
106, 1 
108, 1 
111, 1 
112, 2 
113, 1 
114, 3 
116, 1 
117, 1 
118, 1 
119, 1 
120, 3 
122, 1 
123, 1 
125, 1 
126, 2 
127, 1 
129, 2 
130, 2 
131, 1 
134, 1 
135, 1 
136, 2 
137, 2 
140, 1 
141, 1 
143, 1 
145, 1 
147, 1 
148, 1 
152, 1 
154, 1 
155, 1 
165, 1 
168, 2 
183, 1 
185, 1 
187, 1 
188, 1 
195, 1 
199, 1 
200, 1 
212, 1 
238, 1 
245, 1 
258, 1 
273, 1 
280, 1 
298, 1 
314, 1 
317, 1 
324, 1 
331, 2 
373, 1 
385, 1 
390, 1 
409, 1 
415, 1 
455, 1 
558, 1 
634, 1 
652, 1 
922, 1 
1037, 1 
1563, 1 
2082, 1 
2874, 1 
3625, 1 
